timestamp,vehicle_id,speed,engine_temp,fuel_level,gps_lat,gps_long
2025-10-28 01:57:25,3805,22.34,71.64,53.07,22.27,88.05
2025-10-28 01:57:25,9777,22.16,115.47,19.44,10.77,77.43
2025-10-28 01:57:25,8634,62.2,105.48,48.29,19.96,96.18
2025-10-28 01:57:25,6151,26.86,88.02,49.67,30.65,71.76
2025-10-28 01:57:25,1605,115.67,116.02,19.48,11.64,94.54
2025-10-28 01:57:25,4473,111.68,96.96,73.07,9.19,74.62
2025-10-28 01:57:25,6178,98.41,85.71,88.26,10.33,75.81
2025-10-28 01:57:25,2814,65.35,76.92,90.27,32.44,84.52
2025-10-28 01:57:25,6775,112.28,98.36,37.44,30.68,84.08
2025-10-28 01:57:25,2863,33.75,88.77,97.71,33.16,86.56
2025-10-28 01:57:25,6781,81.79,85.66,24.11,20.94,72.61
2025-10-28 01:57:25,6557,41.67,101.16,22.76,32.66,74.14
2025-10-28 01:57:25,3191,102.06,104.12,83.45,37.59,91.74
2025-10-28 01:57:25,4230,79.29,101.17,92.86,23.84,94.09
2025-10-28 01:57:25,5660,93.52,91.8,34.05,10.75,70.87
2025-10-28 01:57:25,2768,110.61,70.01,93.45,28.63,92.06
2025-10-28 01:57:25,6717,82.21,86.58,73.08,23.8,90.42
2025-10-28 01:57:25,1756,71.37,108.29,75.58,19.66,76.3
2025-10-28 01:57:25,6835,52.07,117.45,25.49,12.55,74.46
2025-10-28 01:57:26,3328,69.0,89.88,81.91,11.3,95.33
2025-10-28 01:57:26,5446,116.81,88.79,47.68,29.82,78.03
2025-10-28 01:57:26,4218,46.77,119.89,19.95,31.24,78.93
2025-10-28 01:57:26,6963,118.45,66.92,82.85,30.14,71.79
2025-10-28 01:57:26,8353,51.72,61.57,89.44,29.96,88.46
2025-10-28 01:57:26,8974,49.07,110.97,32.83,16.29,84.84
2025-10-28 01:57:26,5580,44.2,81.92,83.18,32.15,87.68
2025-10-28 01:57:26,8469,40.06,85.06,85.18,20.74,94.65
2025-10-28 01:57:26,1512,101.36,70.94,90.88,33.54,71.69
2025-10-28 01:57:26,1082,21.05,83.49,13.87,9.45,85.6
2025-10-28 01:57:26,1578,49.18,104.06,29.91,32.5,88.42
2025-10-28 01:57:26,7415,78.49,60.77,96.23,9.31,71.64
2025-10-28 01:57:26,9593,64.49,72.9,29.95,9.64,81.86
2025-10-28 01:57:26,8927,55.26,87.74,36.35,37.05,82.8
2025-10-28 01:57:26,6327,32.15,97.58,76.33,26.28,92.52
2025-10-28 01:57:26,9744,107.31,95.79,13.13,20.27,93.86
2025-10-28 01:57:26,3110,42.04,105.48,79.14,20.06,73.21
2025-10-28 01:57:26,5665,61.38,119.97,77.92,17.65,78.04
2025-10-28 01:57:26,8177,36.73,92.68,79.31,25.3,84.91
2025-10-28 01:57:26,4374,93.89,78.45,83.71,13.68,96.02
2025-10-28 01:57:27,6304,24.03,98.06,78.0,12.02,89.47
2025-10-28 01:57:27,9225,105.24,81.25,10.18,27.48,84.25
2025-10-28 01:57:27,6220,101.5,118.13,99.96,16.68,85.54
2025-10-28 01:57:27,4374,67.24,96.46,46.33,26.17,88.11
2025-10-28 01:57:27,5330,73.1,106.43,80.06,28.03,73.41
2025-10-28 01:57:27,6978,75.45,86.96,81.07,29.29,86.11
2025-10-28 01:57:27,6173,55.6,115.18,25.56,22.3,96.06
2025-10-28 01:57:27,7336,41.72,73.92,17.24,26.85,92.55
2025-10-28 01:57:27,8663,116.07,72.79,49.43,28.81,75.93
2025-10-28 01:57:27,7347,86.79,82.14,25.59,19.29,96.15
2025-10-28 01:57:27,4430,49.61,104.84,45.07,9.25,70.73
2025-10-28 01:57:27,6908,20.42,115.36,92.74,10.65,71.41
2025-10-28 01:57:27,6237,35.96,64.3,28.95,13.2,79.87
2025-10-28 01:57:27,4785,45.37,104.73,27.0,13.11,88.96
2025-10-28 01:57:27,3738,113.07,84.79,21.67,22.3,81.53
2025-10-28 01:57:27,6695,53.17,112.15,40.06,34.41,77.64
